#
#  synelcyc 22.5 Pathways link table generated on Tue Sep 11, 2018
#
PWY-5382	hydrogen oxidation II (aerobic, NAD)	
PWY-1001	cellulose biosynthesis	
PWY0-501	lipoate biosynthesis and incorporation I	
PWY-5946	&delta;-carotene biosynthesis	
PWY-6758	hydrogen production II	
PWY-5863	superpathway of phylloquinol biosynthesis	superpathway of phylloquinone biosynthesis
PWY-5944	zeaxanthin biosynthesis	
PWY-6785	hydrogen production VIII	photosynthetic hydrogen generation
PWY-5943	&beta;-carotene biosynthesis	
PYRIDOXSYN-PWY	pyridoxal 5'-phosphate biosynthesis I	vitamin B<sub>6</sub> biosynthesis
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate <i>a,c</i>-diamide I	
PWY-5918	superpathay of heme biosynthesis from glutamate	
PWY0-1299	arginine dependent acid resistance	
ASPARTATESYN-PWY	L-aspartate biosynthesis	L-aspartate biosynthesis and degradation
PWY0-1415	superpathway of heme biosynthesis from uroporphyrinogen-III	
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	acetyl-CoA biosynthesis (from alcohol)
PWY66-21	ethanol degradation II	
CYSTSYN-PWY	L-cysteine biosynthesis I	
PWY-5971	palmitate biosynthesis II (bacteria and plants)	palmitic acid biosynthesis	de novo lipogenesis
PWY-6964	ammonia assimilation cycle II	GS/GOGAT pathway
HOMOCYSDEGR-PWY	L-cysteine biosynthesis III (from L-homocysteine)	L-homocysteine degradation
GLNSYN-PWY	L-glutamine biosynthesis I	L-glutamine - L-glutamate pathway
PWY-6292	superpathway of L-cysteine biosynthesis (mammalian)	
PWY-3001	superpathway of L-isoleucine biosynthesis I	
GLUTAMINDEG-PWY	L-glutamine degradation I	
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	
PWY-101	photosynthesis light reactions	
PWY-4984	urea cycle	Krebs ornithine cycle	Krebs-Henseleit cycle
PWY-5340	sulfate activation for sulfonation	sulfation pathway
PWY-5063	phytyl diphosphate biosynthesis	phytyl pyrophosphate biosynthesis	phytyl-PP biosynthesis
CYANCAT-PWY	cyanate degradation	cyanate catabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	
PWY-2301	<i>myo</i>-inositol biosynthesis	
PWY-7376	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	
PWY-5966	fatty acid biosynthesis initiation II	
PWY-5965	fatty acid biosynthesis initiation III	
PWY-5723	Rubisco shunt	
PWY-4381	fatty acid biosynthesis initiation I	de novo fatty acid biosynthesis, initial reactions
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis	
PWY-181	photorespiration	C2 photorespiratory carbon oxidation cycle	PCO cycle
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	
PHOTOALL-PWY	oxygenic photosynthesis	C3 photosynthesis
PWY-7709	(3<i>R</i>)-linalool biosynthesis	(<i>R</i>)-linalool biosynthesis
FASYN-ELONG-PWY	fatty acid elongation -- saturated	
ARO-PWY	chorismate biosynthesis I	aromatic amino acid biosynthesis	shikimate pathway
PWY-5097	L-lysine biosynthesis VI	
ARGSPECAT-PWY	spermine biosynthesis	
PWY1-2	L-alanine degradation IV	
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)	riboflavin, FMN and FAD biosynthesis	vitamin B<sub>2</sub> biosynthesis
PWY-6348	phosphate acquisition	
PWY-4361	<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	
PWYQT-4427	sulfolipid biosynthesis	
PWY0-1264	biotin-carboxyl carrier protein assembly	BCCP assembly
PWY490-3	nitrate reduction VI (assimilatory)	nitrate assimilation
PWY0-166	superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)	
NAGLIPASYN-PWY	lipid IV<sub>A</sub> biosynthesis	lipid-A-precursor biosynthesis
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	
PWY-6612	superpathway of tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
PWY-6978	plastoquinol-9 biosynthesis II	plastoquinone biosynthesis II	plastoquinone-9 biosynthesis II	plastoquinol biosynthesis II
PWY-4341	L-glutamate biosynthesis V	
THRESYN-PWY	superpathway of L-threonine biosynthesis	
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	
PWY-3461	L-tyrosine biosynthesis II	pretyrosine pathway
PWY-6700	queuosine biosynthesis	
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	sucrose biosynthesis I (from Calvin cycle intermediates)	sucrose biosynthesis I
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	folic acid salvage	folate salvage	THF salvage
PWY-5659	GDP-mannose biosynthesis	
PWY0-1479	tRNA processing	
MET-SAM-PWY	superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	
PWY-2161	folate polyglutamylation	
PWY-5484	glycolysis II (from fructose 6-phosphate)	
PWY-6983	tetrahydrobiopterin biosynthesis III	
PWY-6629	superpathway of L-tryptophan biosynthesis	
PWY-6614	tetrahydrofolate biosynthesis	folic acid biosynthesis	folate biosynthesis	THF biosynthesis
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	anaerobic glycolysis	Embden-Meyerhof-Parnas pathway	EMP pathway	glycolysis III (glucokinase)
